,title,content,comment,date,category
0,LVMH/Christian Dior: All Things Luxury Showing A Buy Setup,There are moments when the market will present a setup in rather clear fashion Of course we must always use proper risk management But when the chart shows us aChristian Dior Fendi Givenchy TAG Heuer Bulgari and many more In fact the two tickers mentioned here   and   aka DIOR represent more than 75 different wellknown luxury brands Also remember that DIOR holds 4236 shares and 5901 of voting rights within LVMH Thats why their current respective setups are so synonymous with each otherLets look at the Fundamental snapshot firstHere are some recent comments from our lead fundamental analyst Lyn AldenWe can also see from the attached charts below that while luxury is certainly not cheap the profit margins are still wide Not often Perhaps there will be a time in the future when these very luxury goods are priced at a lower valuation However the charts are not showing that to be the current case So with the supposition in hand that the luxury goods sector will strike a higher price over the next several months what is the setup and how can we define our risk vs rewardGarrett has been watching the LVMH chart with keen interest as of late we are sharing the DIOR chart as well but remember the crossover between the two tickers mentioned above Lets focus on the LVMH chart Both the Blue and Red paths point higher over the next several months The difference will be the depth of the correction ifwhen the next peak in price is struck as illustratedFor now we can focus on the nearterm completion of what is labeled as wave v of the circle c of wave 4 That is nearing fruition shortly or perhaps has even finished the corrective move with todays low If so then price should reverse from this area and then break above the 820 area We are looking for the 975 zone overhead to complete a much larger rally structure should price move below 660 first before forming this higher high anticipated then we would reassess the bullish setup as presentedIn the bigger picture this next high should be significant Why do we make that affirmation Its a matter of degreesPerhaps another way to describe the use of degree in this context is to compare it with scale The markets display selfsimilarity of structure at all degrees or scales of time This is the fractal nature of the markets These structures or patterns repeat at all scales or degrees and therefore can provide us with predictabilityThis is the power of Elliott Wave theory when correctly applied Lets simply discuss this using the Blue path illustrated on the above chart for LVMHNote at the next anticipated high there is a stack of 3 numbers What is this It is the confluence of degrees the one above greater than the prior and it tells us that the next high will be of even more importance than the prior high Why Because it will be at a higher degreeThis will be the confluence of 5 waves up from the low struck at wave 4 in June 2022 This wave 5 rally up is formed in 5 waves But the larger structure is also 5 waves Whats more its part of an even bigger 5 wave structure Now dont let this blow your mind Fractals are all around us in mathematics and even natureAvi Gilburt has discussed this in depth across many articles presented here for the readership Here is a brief excerpt from one of those pieces that discusses the theoryThere are many ways to analyze and track stocks and the market they form Some are more consistent than others For us this method has proved the most reliable and keeps us on the right side of the trade much more often than not Nothing is perfect in this world but for those looking to open their eyes to a new universe of trading and investing why not consider studying this further It may just be one of the most illuminating projects you undertakeEditors Note This article discusses one or more securities that do not trade on a major US exchange Please be aware of the risks,20,2023-09-05,8
1,Looking To Participate In India's Growth? Try Bajaj Finance,Indias economic growth rate is anticipated to be in the 67 range year over year into the 20262027 time frame  The Economic Times If thats a market that youre looking to participate in then consider Bajaj Finance has their latest annual report available on their website  A few key metrics are revenue growth and then of course profits from that revenue Note some snapshots belowTake a deeper dive into their annual report for many more details and forwardlooking statements Bajaj Finance looks wellpositioned to capture much of this future growth And as Lyn mentions above the financial sector is likely to expand faster than the broad economy If so what are the price targets overhead for the stock And what would be a warning that our primary scenario is not playing out as illustratedAs you can see on the above chart Garrett shows that Bajaj stock should be working on a corrective retrace off the July high and setting up further upside into the end of the year as long as support holds This next rally phase may target as high as 10000 on the chart Should price instead break back below 6000 this would be a warning that our primary assessment may not be playing out as drawn up hereBajaj Finance stock is just one of the many that we follow At this time it would appear to have one of the stronger setups for higher into the end of 2023 Why can we make this projectionThe 10000 price target overhead is projected from the low struck way back in March 2009 The initial rally took price to the 84 level by the Fall of 2010 Thereafter a pullback low was found at 56 a year later To properly project the price target overhead you must use a chart with logarithmic scaling linear scaling will not correctly show the percentages of the rallies and pullbacksNow what makes this so intriguing is that the smaller rallies and pullbacks must also fit into the larger structure This is the fractal nature of markets The term fractal is attributed to a mathematician named Benoit Mandelbrot perhaps around the year 1975 But the fractal nature of the markets was observed and understood much before that time Avi Gilburt has written extensively about this and how it forms the basis of our analysis methodology Here is an excerpt from one of those articlesIf you have ever spent a few moments or even more observing a fractal it can almost be mindboggling The closer you zoom into a new shape the more you realize that it is exactly the same as the larger shape At your leisure Google fractals and then images Take a bit of a dive down that rabbit hole just make sure to tie a cord to reality to find your way out again It can make for a fascinating study into how fractals are all around us in nature in mathematics and yes in the stock marketsThe practical application for us as investorstraders is that the fractal nature of the markets provides us with a repeating and therefore predictable pattern that we can use to show a structure of price on any chart That structure of price can then illustrate risk vs rewardIn the specific case of Bajaj Finance we show important support at the 6000 level For as long as price remains at the level or above we can project a probable path forward to the 10000 area nextThere are many ways to analyze and track stocks and the market they form Some are more consistent than others For us this method has proved the most reliable and keeps us on the right side of the trade much more often than not Nothing is perfect in this world but for those looking to open their eyes to a new universe of trading and investing why not consider studying this further It may just be one of the most illuminating projects you undertake   Past performance is no guarantee of future results No recommendation or advice is being given as to whether any investment is suitable for a particular investor Any views or opinions expressed above may not reflect those of Seeking Alpha as a ,14,2023-08-08,3
2,Toyota: Risk Of A Value Trap Rising,While the  managed a meager 2 gain in the same time frame Toyota  has run some 30plus We talked about this setup back at theToyota is now nearing what may be a major peak in price Yes according to the chart we share below there may be a few more squiggles higher in the months to come But its now time to tighten up risk management We provide the following updated commentary regarding the fundamentalsHere are Lyns comments from the May articleAnd today what may be a major factor in the shift to a value trapThe value trap thesis will likely begin to gain traction as Toyotas market share is challenged by these competitors So how will we know when the peak of the mountain has been reached And is there a way to track the structure of price on the chart to provide risk vs reward for a traderinvestorYes fundamentals are important and at some moment in time they will matter Whats more the smaller the market capitalization of the stock observed the more fundamentals will weigh on price The opposite also is true Sentiment works on a continuum And sentiment is what truly moves markets When we use the word sentiment its simply fear and greed Basic human behavior and feelings manifested right before our eyes in the price on the chartSo how do we use these feelings to our benefit rather than to our detriment Our job as market participants is to join in the movement of price and to be on the right side of that more often than not Seems simple and straightforward does it not However when greed and fear overtake a participant then said person is no longer an observer of the sentiment in the marketplace rather theyre now a participant in the sentiment itself Emotions have now clouded their judgement and objectivity will likely soon exit stage rightThe traderinvestor needs a specific structure to measure sentiment and to indicate whats the most likely path going forward We view the markets and the stocks that make them up from a probabilistic vantage point This means that we seek to identify what is the highest probability outcome and then follow this as our primary path We also will outline an alternative path should our primary failGarrett is a senior analyst covering both US and international equity indices as well as stocks Hes a key contributor of SP 500 and other index analysis We cover 10 international indices FTSE100 DAX Euro STOXX 50 Nikkei Hang Seng Indias Nifty 50 Mexicos IPC Index Brazils Bovespa Australias ASX 200  Shanghai Composite as well as many key stocks from around the globeToyota is part of this ongoing coverage The latest chart from GarrettIf you were following this chart from back in May then you will notice that price did not reach a substantially lower low but rather turned up and rallied more than 30 This was something that we were keenly aware of as a possibility and members were alerted back in midJune that a more bullish outcome was becoming more probableRemember that markets are nonlinear fluid and dynamic in nature much like human behavior Or rather exactly like human behavior So where does this place us nowAs you can see on the latest chart price should hold in this current area and turn up for one last rally phase to reach the 3000plus level Its plausible to see price as already having struck an important high at the 2900 level But support remains intact for the moment Should price move below 2400 that would be the first indication that 2900 is actually a more important high And a move below 2100 would make that more likelyThe risk of Toyota becoming a value trap is rising Once price completes this current rally structure we will turn more defensive Whats more this may even provide a sell setup in the near future For now we will eye a higher high but remain vigilant should support give wayThere are many ways to analyze and track stocks and the market they form Some are more consistent than oth,2,2023-10-02,8
3,Sentiment Speaks: The Market Got It Wrong,As we look back upon another interesting week in the market there are a few standout matters I would like to point outTo begin with I saw the following quote from an interview with wellknown economist Austan GoolsbeeMr Goolsbees quote evidenced his ignorance of certain market dynamics First this selloff was not at all a puzzle as the setup for it was developing weeks ago as I have outlined in public articles But you will not be able to identify these types of movements based on traditional economics As Benoit Mandelbrot outright stated one cannot reasonably apply an economic model to the financial marketsSecond the Fed does not control the market as many seem to believe If it were true then the market would not have been rallying to 4607 over this last year In fact that rally took Mr Goolsbee and most other economists by surprise as wellAs I have often said while news can act as a catalyst the substance of the news is not really material to the direction of the market move While many market watchers superficially believe that the substance of a news announcement determines the direction of a market move they often ignore the many times the market moves in the opposite direction of expectations And here Mr Goolsbee is proving our pointTo take this one step further on September 18 I published an article entitled Sentiment Speaks Will The Fed Cause A MiniCrash wherein I noted the followingIn fact on September 11 a week and a half before the Fed meeting I noted the followingNow for those of you who have been following my public articles you would likely know that I set a target for this decline in the 42304274SPX region before it even began And this past week we hit a low of 4217SPXMoreover we even were able to identify the specific twists and turns during the recent market action as outlined in a blog post this past weekAnd as one of our members notedSo lets turn our focus to the action seen on Friday If you read the blog post above you would know that I was expecting one more decline as of Thursday As I outlined to our members as long as the resistance box I outlined on my chart held as resistance I was expecting a decline into the end of the week to potentially complete the downside structureWhat was truly interesting about the action on Friday was that the market initially declined as expected supposedly due to the jobs report published that morning However once it struck a double bottom it then turned strongly in the opposite direction and rallied over 100 points off that low As one of the commenters to my article last week notedAnd as one of our members joked in our trading roomI even saw a number of people comparing the action seen on Friday to the action seen on October 13 2022 which was a day when hotterthanexpected inflation numbers came out yet it marked the bottom of the market since that time as it rallied 6 off the low struck that day And if you had been following our analysis during that time too you would know we were expecting a major market low around 3500SPX with a further expectation of a rally to take us to 4300 from there no matter what the newsIf you have not realized it yet I will again repeat that while the news can act as a catalyst to a market move the substance of that news will often not be determinative of the direction of that market move And if you are being honest then you have to realize the truth of this proposition What ultimately directs the market move is the nature of the market sentiment at the time of the announcement Allow me to give you an example of how we were looking at the market sentiment structure at the end of the weekWe were on high alert that the market was prepared for a reversal as I outlined to our members on Thursday morning as we were preparing for the decline we expected into FridayThe ellipse referred to in the quote above was pointing to a strong rally back to the 43164,106,2023-10-09,8
4,US Steel gains on speculation Nippon Steel may join with ArcelorMittal in bid,ArcelorMittals Intrinsic Value A Value Investors DelightUS Steel How High Can You GoUnited States Steel Hold Rating Fueled By High Share Price With Poor Revenue GrowthArcelorMittal weighed by concerns over US Steel involvement Deutsche Bank saysAlgoma Steel extends iron ore purchase contract with US Steel,42,2023-10-11,1
5,Sentiment Update: So You Think The Bear Market Is Over,In an article last February  we forecast a second wave of the bear market We suggested the decline of 2022 was the first part of a two waveWe suggested this second wave would last about the same time as the first  nine months If July 31st is the start that would mean the low of the second wave would occur around mid MayWe also suggested the second wave would decline about theWe discussed the economic foundation behind such a decline a month ago in this article The Now our two Master Sentiment Indicators show that if were right about this second down wave there is no sign from market sentiment that its overThis chart is a graphic representation of what we expect from this second wave of the bear market As we said this wave down isnt really a bear market in itself but the second wave down of a much longer bear marketThis longer bear market is in the form of two large declining waves of 25 each separated by a major rally back to the previous high Theyre highlighted in the pink boxes below A description of this is found in the text under the graphThe two charts below are our Master Sentiment Indicators  one measures sentiment over the long term the other over the short to intermediate term Theyre composites made by putting other sentiment indicators together into one in a mathematically consistent way The first one called the Master Sentiment Indicator or MSI is calculated weekly The other STMSI is calculated on a daily basisBear markets have never ended without investor sentiment becoming extremely bearish at the bottom At bear market lows people become so negative they cant see anything but further price declines We call these Green Zone readings Weve indicated past green zone readings on the charts with arrowsYou can clearly see the extreme readings that accompanied last years bear market low We heralded the bullish meaning of these green zone readings all last year yet only a few readers paid attentionWhen applying sentiment to help find market highs and lows you follow the price trend either up or down until sentiment has gone to an extreme Since we dont have that yet we assume that the downtrend in prices will continue until these indicators reach green zone readingsYou can see that the current rating on both these indicators is not yet in the Green Zone We will hold with the bearish forecast until we get green zone readings   Past performance is no guarantee of future results No recommendation or advice is being given as to whether any investment is suitable for a particular investor Any views or opinions expressed above may not reflect those of Seeking Alpha as a whole Seeking Alpha is not a licensed securities dealer broker or US investment adviser or investment bank Our analysts are third party authors that include both professional investors and individual investors who may not be licensed or certified by any institute or regulatory body,41,2023-10-29,8
6,ImmunoGen quickly gains amid speculation of takeover interest,ImmunoGen NASDAQIMGN jumped 12 on speculation that the biotech firm may be a takeover targetTheres some speculation that a large European pharmaceutical company may be pursuing ImmunoGen IMGN according to a Betaville rare alertImmunoGens IMGN short interest is 94 ImmunoGen IMGN is set to report Q3 results on Nov 2  ,16,2023-10-24,8
7,Sentiment Update: A Bear Market Inflection Point,An inflection point is a moment in time when small but critical events determine long term trends We think today is such a moment red circle and is defined by this questionIs the recent two month 8 decline just a normal correction in a bull market  which is now ending and the market about to move higher  or is it the first selling wave of a much larger decline or bear market as diagrammed belowWeve watched the evolution of a possible ABC price pattern since we forecasted it  Market Sentiment And A Bear Market Elliot Wave Flat We had hoped to reach last years high of 4800 on the SP 500 before the start of the second bear market but it seems new highs in longterm interestMetrics of investor sentiment usually help guide us through times like this so lets first update market sentiment before we address this questionWe have two master sentiment indicators One measures investor expectations for the long term the other expectations for the short to intermediate term Theyre made by combining other sentiment indicators into one indicator in a mathematically consistent wayThe latest reading of the STMSI is 51 which puts it halfway between a green zone reading and neutral sentiment This is the most extreme bearish reading since the near red zone reading of 67 on July 19th That nearred zone reading which occurred at the peak price of the SP 500 was thought to signal a shortterm correction and not a major market topWe figured the rapid reversal in bullish sentiment that followed confirmed this short term view In fact we gave a short term buy signal on the market at the low a month ago Up to last week we continued to hold the view that this correction was short term and the market would soon recover and eventually move back to the highs made last yearWere not so sure of this now The new high in long term interest rates is unsettling the long term picture and we think there is a high probability that the SP 500 highs made in July were the peak of the rally and weve started into the long expected second bear market We wrote about this a week ago in The MSI chart shows the latest reading at 37 which also puts it on the bearish side of neutral It confirms what the STMSI indicator is signaling Since the MSI changes more slowly than the MSI if the current market decline that started in July is the expect second bear market there is room for a four or fiveweek decline in stocks before this indicator moves into the extreme bearish Green Zone signaling the bottom of the marketWe will now look at what the individual indicators that make up these master indicators are saying We put them in two categories  those based on surveys and those based on investor buying activityThis table shows the five investment surveys that go into our master indicators As you can see four of the surveys are well onto the bearish side of neutral while the Investors Intelligence survey still indicates mostly long term bullish sentiment The average which is marked by the yellow highlighted X is just on the bearish side of neutral at 3 The latest survey of the American Association of Active Investment Managers NAAIM shows an average investment position of 36 That puts our moving average of the weekly results at 6 on the scale This cautious ranking continues to make the NAAIM survey the most bearish of all the investment surveys Remember extreme bearishness is positive for the stock market but it must be at an extreme reading to have meaning The two Hulbert surveys of newsletter writers  one for the general market and the other the Nasdaq  are at 5 and 4 respectively which is midway on the bearish side of neutral But again it must be at an extreme reading to be actionable Last week 30 of AAII members were bullish while 42 percent were bearish Our ranking of the moving average of their weekly numbers is at 5 which puts it halfway between neutral and extremely beari,69,2023-10-17,8
8,Sentiment Speaks: It Makes No Sense That The Market Will Continue To Rally,I love reading what the media tries to explain a market move as it just makes me chuckle On Friday morning when the market rallied into the open this was the headline on CNBCStock futures rise on hope increasingAnd only an hour later the market went red I guess that hope was dashed quite quicklyMoreover I am seeing more and more perspectives that the market should not have risen this high and why it cant go any higher Specifically many claim that a rising dollar and rising interest rates are now going to kill the stock market And they believe that there are no fundamental reasons for the rally to go onBefore we look at this perspective a bit more closely allow me to remind you of my perspectiveTo be honest such perspectives make me scratch my head It makes me question whether these market participants have even looked at market history or are they just regurgitating the common fallacies about the market because it makes sense within their world view as to how things should happen Personally I believe it is best to analyze markets based upon what is rather than what we want it to be You will be much more successful in the long runBut as far as market history we do not have to go back too far to recognize that the market was around the 3500SPX region when rates were in the same general range where we find ourselves today Yet the market is 30 higher When you come to terms with that then you have to reasonably conclude that rates have not been a factor Therefore if rates do rise and the market does drop from hereon which is not what I am expecting the logical conclusion is that this is simply a coincidental factor at least based upon the proof of the market action seen over the last year So we can logically throw this fundamental perspective out the doorYet I am simply amazed when I see people take the position that the market is simply wrong And so many are extremely confident that the market is about to drop when reality hits the market And this is exactly why they have missed the 30 rallyFolks if the market diverges from your premise then it should lead you to only one conclusion you and not the market are wrong Again may I remind you of the famous words of Jesse LivermoreSo please spare me the double talk as to why the market has rallied 30 against these common fundamental perspectives The most productive action in which you can now engage is to accept you are wrong and try to understand why you are wrong And I would strongly suggest you read my article linked above to guide you to that understandingAnd if you would like to read a bit more about my perspective on why it is foolish to rely upon these seeming correlations feel free to read the following article as wellAs far as the premise that a rising dollar is negative for the stock market well I guess anyone holding this perspective has not even bothered to look at what the DXY has done over the last decade And if you are amongst those that do not know the DXY has rallied with the stock market over the last 15 years After you pick your jaw up off the floor feel free to check the charts to see for yourselfNow even though we have herein obliterated a number of common fallacies and seeming correlations I am quite certain it will not stop analysts and investors from clinging to these outdated and erroneous views And the certainty with which they will continue to post these views will likely only increase They simply know that they are rightI guess one could apply the old phrase often wrong but rarely in doubt to these people If you ask them they will proudly tell you that is only a matter of time before the market proves them right Yet they fail to realize that they missed a 30 rally by being rightMy goal in highlighting these facts week after week is not really to change these people of which I speak as that is likely an exercise in futility Rather my goal is to force many of you to reco,8,2023-10-10,8
9,Sentiment Speaks: Are We Ready To Rally To 4800?,Inflation the Fed interest rates RussiaUkraine war IsraeliHamasHezbollah war Iran China North Korea housing earnings oil politics bank instability unemployment US Dollar etc Did I forget anything Well I am quite sure there are other issues that many are focused upon which I did not enumerate But the point is that almost every single article written about the stockNow take a step back and ask yourself how many of these authors focusing upon all these factors have been able to accurately and consistently outline to you where the market is headed Have you ever considered why they cantWell the simple answer is that none of these factors drive the market so they are looking in the wrongIn a 1988 study conducted by Cutler Poterba and Summers entitled What Moves Stock Prices they reviewed stock market price action after major economic or other type of news including major political events in order to develop a model through which one would be able to predict market moves RETROSPECTIVELY Yes you heard me right They were not even at the stage yet of developing a prospective prediction modelHowever the study concluded that macroeconomic news    explains only about one fifth of the movements in stock market prices In fact they even noted that many of the largest market movements in recent years have occurred on days when there were no major news events They also concluded that there is surprisingly small effect from big news of political developments    and international events They also suggest thatSo rather than focusing on economics and geopolitics there must be a better way to forecast the stock market There is and it is based upon a view of market sentimentWhen I have made this claim in the past many question me as to how sentiment drives the market and simply turns on its own without any exogenous drivers My answer is simply biologyIntuitive and knowledgeable investors and analysts recognize that market participants move in herds in the same way as many animals You see humans are hard wired for herding within their basal ganglia and limbic system within their brain which is a biological response they share with all animals And this is driven by emotion and not by reasonThere have been many recent studies that support this perspective For example in a study performed by Dr Joseph Ledoux a psychologist at the Center for Neural Science at NYU he noted that emotion and the reaction caused by such emotion occurs independent and prior to the ability of the brain to reasonIn a paper entitled Large Financial Crashes published in 1997 in Physics A a publication of the European Physical Society the authors within their conclusions present a nice summation for the overall herding phenomena within financial marketsSo while almost all authors attempt to reason with the market based upon all the factors outlined above we have to finally come to the realization that it really is useless if our goal is to determine which way the market is going to move based upon societal sentiment As I have said before attempting to reason with the stock market an emotional environment is akin to attempting to use logic to reason with your spouse when they are emotional How well does that work for youThe definition of insanity as attributed to Albert Einstein is doing the same thing over and over while expecting a different result Based upon this definition it would suggest that most of those who base their analysis on the factors noted above are insane And while what I am saying here is clearly not going to stop the insanity I am hoping to at least open the minds of some of you to the truth of what I have been presenting for many yearsThe fact that I engage in an esoteric form of analysis and still have 75000 followers on a fundamental analysis website have the 3rd largest paid service on a fundamental analysis website and have 8000 subscriber,84,2023-09-05,8
