,Unnamed: 0,title,content,comment,date,category,vader_score,dict_score
0,0,Exxon Mobil: A Strong Sell Ahead Of The Last Age Of Oil,At the close of 2021 a popular Seeking Alpha contributor posted an  detailing why she believed that oil would experience a big move up in the 2020s decade setting the stage for what she callsStill in late 2021 I had arrived at the same basic conclusion a change in the energy sector is upon us and will dramatically take shape and shape fortunes throughout thisRegarding the longterm future of the energy sector my viewpoint is based on the following phenomena and developmentsBecause of these developments I believe that the energy boom in the aftermath of the RussiaUkraine conflict marks the last time that oil and other fossil fuels can be relied upon to enrich contemporary energy companies that comprise much of the energy sector today In my opinion these companies as well as their investors would be wise to transition away from fossil fuels as soon as possible during the 2020sIn the following sections I will explain in detail why I believe that this decade represents the last age of oil while also exploring how this affects one of the worlds largest and most vertically integrated oil companies Exxon Mobil Corporation After the forced breakup of Standard Oil an American oil behemoth Exxon became one of the most successful divisions to be spun off the company Exxon is among the largest privately owned and publicly traded oil companies in the world and produces a large amount of the worlds energy  in 2018 It is vertically integrated and therefore controls the upstream exploration drilling extraction midstream transportation storage refining and downstream retail sales and distribution handling of oil and natural gas While it may not be the worlds largest oil company a title usually held by stateowned Saudi Aramco Exxon is rightfully considered a giant in a massive industry making it significantly appealing to investorsAs formidable a company as it may be the oil giants past decade of financials reveal the consequences of a  to capitalize on the US shale boom in the 2010s and the effects of expensive pursuits of less profitable oil projects during that timeRevenues for 2013 and 2014 were in the 350400 billion range but declined to the 200250 billion range from 2015 to 2019 Revenues for 2020 were disastrous with the company pulling in only 178 billion that year However 2021 was a return to form with a haul of over 275 billion and in 2022 the year of the Russian invasion of Ukraine that prompted Western governments to reject Russian oil revenues of Exxon increased to nearly 400 billion since the energy giant had many more customers than usual in need of its supplyRegarding net income the trends are about the same with different numbers 32 billion earned in 2013 and 2014 a decline to the 1520 billion range from 20152019 with a notable drop to 8 billion in 2016 a disastrous decline to a loss of 22 billion in 2020 a return to form of 22 billion earned in 2021 and a sharp rise to 55 billion earned in 2022Lastly cash flow from operations tells a similar story 45 billion in cash flow earned in both 2013 and 2014 a decline to the 2030 billion range for 20152019 a decline to 14 billion in 2020 and a rise to 48 billion and 67 billion in 2021 and 2022 respectivelyNotwithstanding the mishaps in the past decade that affected its finances Exxons performance is relatively impressive for having missed out on such a big opportunity in the US oil industry A misstep like neglecting shale shouldnt have been catastrophic for the company in any case considering it is structured to be a major player in all areas of the oil industrys operations This means however that if the US and global oil industry were to collapse theres a good chance Exxon would follow as its oilbased revenue streams unraveledAs the stock of a wellknown giant in the energy sector I would expect to see XOM trade at a premium over its peers nearly all of the time,1306,2023-08-14,6,0.7537,-0.35999998560000057
1,1,Occidental Petroleum: Take Me Down To 45Q Funkytown,Its no secret Shale companies are on a plateau trading sideways to down from recent highs right now Even with the price of WTI touching highs not seen in almost a year many of the shale names are acting toppy Our subject thisNormal trading in OXY stock is 78 mm shares daily but on the 15th 23 mm traded to the downside That coincided with a sharp drop in WTI  that day from 9189 so perhaps that accounts for the everfidgety seagulls taking flight all at onceThe lads and lassies in the  have becomeIn this article we will do a topline review of the company in advance of the  coming on November 7th after the close of businessIn September the stock poked its head above resistance at 64 and went all the way to 67 filling our heads with fantasies that it might be back on its way toward the middle 70s Alas that was not to be as in the last few days its formed what looks like a descending triangle on a technical basis The next stop on this train could be in the middle 50s Even the little bit of War Premium it gained following the outbreak of hostilities in the Middle East is fading When you add in the large build inventories this week a case for somewhat lower prices is easily made for the near termThe company is a major producer of oil and gas globally with global production of 1222 MMBOEPD total US production of 990K BOEPD and Permian production of  The company also has lucrative chemicals  mainly caustic soda a reactant used in intermediate chemical reactions to modify pH primarily A  that facilitates its Permian EOR oil and carbon capture businesses And a nascent Direct Air CaptureDAC carbon capture business operated by a   Carbon Engineering4years ago the company made a transformative acquisition of Anadarko Petroleum that resulted in gaining some core acreage in the Delaware basin and substantial US GoM infrastructure I  recognizing the hidden value in the deepest part of the Delaware basin in terms of well productivity Over time the perception of this purchase has fluctuated with some calling OXY a poor allocator of capital Hmm Well see about thatThe oil business has always been a Go for broke raid the kids college fund put up the house title and the pink slip to the pickup type of enterprise Not so much in recent years but the spirit of the Wildcatter lives on even if the flame flickers a bit in the ivory tower reaches of the Corporate Boardroom In the spirit of  Vicki Hollub flew to Omaha and convinced the  to fund her swing for the fences deal for Anadarko The next day the petroleum powerhouse was snatched off competitor  table Oil and gas from the Permian now provide about half of OXYs revenue so the OXY purchase of Anadarko is standing the test of time in my bookEvery silver cloud has a dark lining and the debt required to complete this purchase including 10 bn from  and the resulting issuance of a Preferred class of shares with an 8 annual coupon nearly killed the company Shares plummeted from the mid70s to as low as 946 in Oct of 2020 That was when I bought my initial position and have made several buys along the wayWe all know higher oil prices and some adroit debt management saved the dayfor OXY and a host of other EPs In the intervening time OXY has used the cash flow to repair its  with debt now at 19 bn as a result of asset sales and cash payments and a DE ratio of 068 down from nearly 2X a couple of years ago OXY CFO Rob Peterson noted the success of the past couple of years in this regardOXYs rich Uncle Warren has increased  adding the luster of his storied name to the company Even as  of the punishing preferreds Warren took as collateral for his 10 bn and saving 100 mm in annual interest payments Every little bit helpsOXYs efforts toward repairing the balance sheet have gotten to the point the company has been able to raise the dividendstill a shadow of its former glory to 072 per share As w,86,2023-10-13,1,0.8092,0.4999999375000079
2,2,Russia to reveal new OPEC+ supply cut agreement next week - Reuters,Russian Deputy Prime Minister Alexander Novak informed President Vladimir Putin that Russia has come to an agreement with OPEC to slash oil exports to world markets according to a At a televised meeting Putin asked Novak ifThe report did not elaborate on the parameters that could be revealed as they were unclear and Novaks office refused to make an additional commentRussia also said it would cut oil exports by around 5 or 500k bpd in August and by 300k bpd in SeptemberThe country may extend the cuts through October Novak said on Wednesday but added that it was too early to say definitively,114,2023-09-01,4,-0.3291,-0.99999950000025
3,3,Exxon Mobil: OPEC+ Is Coming To The Rescue (Rating Upgrade),Exxon Mobil  experienced a sharp dropoff in free cash flow in the second fiscal quarter which is related to the decline in price realizations in end markets Exxon Mobil still generated a solid 5B in free cash flow in theI previously rated Exxon Mobil a sell    since the companys free cash flow likely peaked in FYMajor OPEC countries Saudi Arabia and Russia recently decided to put into action major supply cuts that would see the combined output volume to be reduced by 13M barrels per day until the end of the year Saudi Arabia  that it will reduce its oil production by 1M barrels a day while Russia  that it will also cut its exports by 300 thousand barrels a day The decline in output has reinvigorated fears over energy supplies especially ahead of a new winter season Oil prices have soared on the back of such news climbing back to 90 a barrel which significantly improves the earnings and free cash flow prospects of large energy producers like Exxon MobilExxon Mobil experienced a rather significant dropoff in free cash flow in the second fiscal quarter which has been the result of lower average prices in end markets Exxon Mobils average crude oil price in the US declined 34 year over year to 7137 a barrel while natural gas prices experienced a much sharper drop of 78 year over year to 145 per kcf The second fiscal quarter was also the fourth straight quarter of declining average prices in Exxon Mobils US segment and the third straight quarter of negative growth in the natural gas businessThe deterioration in the pricing environment in the last year has led to a significant dropoff in Exxon Mobils free cash flow The company generated 50B in free cash flow in Q223 which was down sharply from the 22B free cash flow level which was recorded in the third fiscal quarter of FY 2022 But with OPECs recent supply cuts and rapidly rising petroleum prices Exxon Mobil has actually significantly improved earnings and free cash flow prospectsSource AuthorThe biggest competitor for Exxon Mobil in the US is Chevron  and both companies trade at moderate pricetoearnings ratios Exxon Mobil is currently projected to see a 35 dropoff in earnings per share in FY 2023 largely due to lower average prices With price trends reversing lately however Exxon Mobil may see new EPS upward revisions Currently Exxon Mobils shares are valued at 132X FY 2024 earnings compared to PE ratio of 117X for Chevron While I dont believe that Exxon Mobil is a bargain at 132X forward earnings I acknowledge that OPECs supply decisions could have a material impact on Exxon Mobils profit situationThe biggest risk for Exxon Mobil obviously is a decline in average prices for petroleum and natural gas products because the production business accounts for the majority of the firms earnings and free cash flow With declining market prices come weaker profit margins and lower free cash flow however so if the market doesnt trust OPECs output decisions energy prices may declineAlthough Exxon Mobil saw a significant decline in its free cash flow in the second quarter the energy company still reported solid profitability and OPEC looks to come to the rescue of major energy producers Fears over additional or longerlasting supply cuts ahead of the winter season have resulted in oil prices soaring back above 90 a barrel which should provide a decent profit and free cash flow boost to Exxon Mobil in the third quarter While I dont believe that shares of Exxon Mobil are especially cheap with a PE ratio of 132X I believe the change in energy market fundamentals justifies a rating upgrade to hold   Past performance is no guarantee of future results No recommendation or advice is being given as to whether any investment is suitable for a particular investor Any views or opinions expressed above may not reflect those of Seeking Alpha as a whole Seeking Alpha is not a licensed securities dealer broker,40,2023-09-17,1,0.9968,-0.5555555246913597
4,4,Why I Believe $200 Oil Could Be In The Cards,Oil traders and analysts seem to underestimate the IsraelHamas war and its consequences for the worlds economy Indeed neither Israel nor the Gaza Strip have substantial oil reserves but there are not only two sides to the conflict The war is getting moreI have been bullish on oil for a while  on the subject wasThe map below was prepared by  The countries supporting Palestine in the conflict are marked in orange whilst the militias are marked with red dotsAs concerns Saudi Arabia initially wanted  with Israel However as  escalated between Israel and Palestinian group Hamas the SaudiIsrael deal went on ice Moreover Saudi Crown Prince Mohammed bin Salman had a telephone call with Iran Israels opponent in the conflict to discuss the situation Simultaneously Saudi Arabia is calling both sides of the conflict to peace and is trying to find a solution In order to achieve this Saudi Arabia and the UAE met to discuss the war  Iran could be involved in the conflict This could affect the Gulf countries national security That is why they have been pressing Western allies and Israel to deescalate tensions in Gaza and lift a siege on the strip in my viewHere comes the biggest risk to the oil markets Iran  nations has shown strong support to Palestine It is highly likely to get involved in the conflict if the war intensifies Yes right now Iran is not having a war with Israel However Iranian Foreign Minister Hossein AmirAbdollahian  settlement of the situation in the Gaza Strip is becoming highly unlikely and warned Iran may take  against Israel The minister also added the country did not initially plan to engage in a military conflict with Israel if Tel Aviv did not strike Iranian territory At the same time Iran may  if Israel launches a ground operation in the Gaza Strip  the latter seems to be inevitableMoreover  with Hezbollah the military group located in Lebanon Hezbollah has vowed to escalate if Israel begins a ground invasion of the Gaza Strip which is likely and Israel said it would retaliate  The point I am making is that the situation in the Middle East might get more complicatedThe situation is not new The IsraelHamas conflict comes 50 years after the Yom Kippur War  the fourth of the ArabIsraeli wars was initiated by Egypt and Syria on 6 October 1973 on the Jewish holy day of Yom Kippur After that on  immediately after President Nixons request for Congress to make available 22 billion in financial help to Israel the Organization of Arab Petroleum Exporting Countries OAPEC implemented an oil embargo on the US and started cutting their oil production This made the global oil prices surge nearly fourfold The prices rose from 290 a barrel before the embargo to 1165 a barrel in January 1974 In March 1974 amid disagreements within OAPEC on how long to continue the punishment the embargo was officially lifted The oil prices however still remained highI believe something similar might actually happen now Although I doubt OPEC may implement an oil embargo a potential war between Israel and Iran may lead to massive supply cuts As can be seen from the map above Iran controls the Strait of Hormuz also known as the Gulf The Gulf is used to transport oil coming from the Middle East most notably from countries like Saudi Arabia Iraq UAE and Qatar If there is a fullscale war Iran might well close the Strait of Hormuz for all ships Unfortunately there are limited options to bypass the Gulf Moreover the very fact that there is a war in one country in the Middle East can disrupt oil production in the neighboring countries Nowadays missiles are fired and infrastructure gets destroyed So there is a big risk as wellYou might be wondering why I say that such a high oil price is well possible But let us have a look at the history of oil prices in generalThe diagram below shows the oil prices adjusted for inflation If before the Yom Kippur War th,26,2023-10-24,2,-0.9978,-0.8620689357907263
5,5,The Massive Increase In U.S. Energy Production And Its Consequences - Part 2: Natural Gas,This followup article discusses the macroeconomic forces at play in energy that have influenced our stock selection in the sector There has been a shift for the US from being a net consumer of energy toPerhaps the most important element in the massive increase in US energy production is the growth of natural gas production in the time period we are considering 20072022 In this period the table below shows the increase in billions of cubic feet BCF of both gross withdrawals and dry gas production inTo understand the increasingly important role of natural gas it is important to first reference some history Before that we want to lay out some relevant terminology Natural Gas not surprisingly is a gas until it is cooled to an extremely low temperature It is measured in cubic feet at sea level volume increases or decreases with pressure It is typically priced in units of thousands of cubic feet MCFConveniently one thousand cubic feet of natural gas equals 1036 million BTU one author has a friend who considers this one of the proofs of the existence of God and this makes certain calculations easier for example a trillion cubic feet is roughly equal to a quadrillion BTUs or a Quad Natural gas is produced often containing natural gas liquids such as propane and butane and these liquids are removed at natural gas processing plants which are often operated by MLPs After this removal the resulting dry gas is the product most commonly used by consumersFirst a little bit of simplified but instructive history Natural gas has gone through several phases in terms of how it is viewed by policymakers these phases have been 1 nuisance 2 luxury 3 necessity and 4 national security At first it was a dangerous byproduct of petroleum extraction and was usually flared In fact one way in which the Texas Railroad Commission could reduce petroleum production and thereby raise prices was by using noflare orders Natural gas began to be used in cities but this was largely city gas produced from coalIt dawned on someone that the gas being flared could be hooked up to these networks and pipelines started to make their way across the country All of this was happening back in the days when things could actually be planned and built before NEPA and NIMBY restrictions So far so goodThen the Supreme Court ruled that wellhead natural gas production was subject to the jurisdiction of the Federal Power Commission and the FPC now named the FERC and at one time almost renamed the FUC started to regulate the price that could be paid to natural gas producers The experts at the FPC argued that there was a finite amount of natural gas in the ground and that keeping prices at a lower level would limit production There were various estimates most of which projected that we would have already run out of natural by nowThis policy orientation slowly began to produce a shortage which became more severe when oil prices rose sharply in 1973 Natural gas and petroleum products were substitutes for one another as home heating fuels fuels for power plants and in other applications As oil prices rose more and more users wanted to switch to natural gas which was regulated at much lower prices In addition producers focused their efforts on wells showing promise of oil production rather than those showing promise of natural gas production The situation was complicated by the fact that gas which was produced and consumed in the same state intrastate gas was not price regulated leading natural gas to be more expensive but also more available in those marketsA complex mess emerged  loved by lawyers and lobbyists but hated by the public Each interstate pipeline had curtailment proceedings in which customers would argue their comparative worthiness to receive the natural gas priced below the levels of economic demand One point was widely agreed  natural gas could never be used under a boiler i,265,2023-10-09,6,0.9934,-0.6666666111111158
6,6,Marathon Petroleum: Oil Price Shock Spells Trouble For Refining Margins (Rating Downgrade),Over most of the past year I have held a bullish view of most oil refining companies given the prolonged increase in refining profit margin spreads I  my longterm bullish take on MarathonHowever as discussed more recently  Ive downgraded my view on refiners due to the recent oil crash  in the crack spread As such it is likely an excellent time to look closely at Marathon considering its stock remains generally high However its profit outlook is waning asA sizeable potential oil price increase could be very bearish for refiners such as Marathon particularly if prices rise enough that gasoline demand declines The lack of US Strategic Petroleum Reserve inventories exacerbates this risk as that reserve was intended for sizeable geopoliticalrelated production cuts Overall investors can expect increased volatility in the oil and gas markets potentially leading to downside risks for Marathon Petroleum depending on how we calculate its forward valuationFor the most part refineries benefit from predictable and calm energy markets where oil supplies and gasoline demand do not change too quickly My longterm view remains that Marathon and its peers may benefit from lower competition due to a lack of refinery investments today That said the shortterm outlook has changed as volatility mounts raising pressure on oil prices against gasoline See belowThe first half of 2023 was quiet for energy markets after a volatile 2022 However oil has risen dramatically in value since July to around 87 per barrel today Oil prices declined last week but erased most of those gains Monday morning as the outlook for some oil  Gasoline initially rose with oil over the summer but crashed since August as the demand outlook for gasoline slipped Marathon has retained much of its value but the differing trends between oil and gasoline threaten its capacity to earn an income The crack spread is measured as the spread between gasoline and heating oil vs crude oil has crashed particularly for the gasoline spread See belowThe heating oil spread remains high today but the RBOB gasoline spread is back in its previous range It is also falling very quickly as gasoline declines and crude oil increases making it more difficult for Marathon Petroleum to earn a steady profitLuckily Marathon publishes its expected EBITDA sensitivity to changes in the crack spread See its most recent analysis belowSince the end of  spread has declined from a Q2 average of 32barrel to 19barrel today That figure is a combination of the gasoline and heating oil spreads above All else being equal this 12barrel decline in the spread equates to an expected EBITDA change of 1296 annualized 324B quarterly  have only changed marginally over this period Natural gas has also hardly changed so the shift in the blended crack spread is likely the only significant factor impacting Marathons refining marginsThe company was already under pressure following the decline in crack spreads over 2023 However this most recent crash in the crack spread threatens to erase most of Marathons current EBITDA See belowHistorically Marathon does not have a positive EBITDA if the gasoline crack spread is below around 15 depending on changes in other operating costs Today that spread is below its typical range before COVID19 indicating a sharp deterioration in refining margin profitability The company usually generates a steady EBITDA of around 15B per quarter from its Midstream segment In comparison its refining margins can vary from negative  seen in the 2022 gasoline shortage Its refining segment EBITDA was 316B in Q2 and may be as low as 80M in Q4 should the crack spread remain constant Combined with an expected 15B from Midstream I anticipate its Q4 EBITDA at 142B given limited changes in commodity prices and volumesMarathon will publish its Q3 EPS at the  I expect its Q3 EPS will be much more robust due to the ,13,2023-10-09,1,-0.9751,-0.6153845917159773
7,7,My Wall Street View: The Rubber Band Is Stretched,Through September the economy remains solid but there are formidable headwinds in the months ahead Currently with the funds rate at 55 and the core CPI at 41 the real funds rate is 14 ThatThe Fed can resume its finetuning operation later if the need arises but the general feeling is the Fed does not have far to go Ill agree that the bulk of the Feds work is done BUT I dont believe we can say there is clear sailing ahead onWhile a lastminute deal helped the US government avert a shutdown the bad news is the threat of another shutdown has not fully receded The firstever removal of the Speaker of the House recently has thrown more uncertainty into the mixraising the odds of a government shutdown in midNovember While this situation wont affect the MACRO view it adds to the uncertainty of many issues that willThe political dysfunction is coming at a time when debt dynamics fiscal spending and an overwhelming amount of Treasury supply are creating worries for investors rating agencies and voters Now to be fair the governments deteriorating fiscal outlook should place some upward pressure on bond yieldsthe markets way of sending a message to Washington that they need to get their house in order And the longer the Fed keeps rates elevated to offset the governments outofcontrol spending the worse the situation will getIn an era of low inflation and zerolow interest rates Congress was able to spend freely with limited consequences No so today with inflation still hanging on and with the 10year Treasury yield now hovering around 49 With debt servicing rising at an alarming rate Congress is either going to have to change its spending habits or the US is going to experience more economic pain down the road fiscal austerity would become a nearterm headwind for growth which could ultimately place some downward pressure on interest rates However that assumes Inflation is down to or very close to the 2 target so this growthinflationinterest rate issue isnt going to be so easy to solve However as I will explain later an era of fiscal responsibility can NEVER be achieved with the policies and agenda in place today Now we are faced with other outside forces that are certain to stretch the US fiscal scene to levels never experienced beforeThe auto workers union is making in my opinion some outrageous demands They are asking for a 40 increase in wages over 4 years a 20 reduction in the workweek from 400 to 320 hours and a guarantee of some job security during the transition to the production of allelectric vehicles The fact that the administration tossed its full support behind the union and its demands poisoned any goodfaith negotiations between the UAW and the automobile manufacturers because union workers will now believe that their proposals might be attainableAt the moment anything less than their demands might be deemed unacceptable to rankandfile union members The auto manufacturers will probably feel that they are no longer bargaining in good faith because one side has the support of the President Against this background it is inconceivable to me that the strike can be settled quickly As it progresses the inventory of unsold vehicles will dwindle while sales and revenues slip The negative impact on the economy will soon be apparentWhile investors seem to be pricing a soft landing history is not on their side The Fed has raised rates at the fastest pace in modern history and the market is still trying to absorb the impact This likely will create higher dispersion between companies and asset classes alike with the volatility offering investors the potential to find companies that are positioned well but negatively impacted by nearterm macro events As rates have spiked so too have longterm yieldsYield spreads also bear monitoring The spread or difference between 2year and 10year Treasury yields has been negative all year ie an inverted y,445,2023-10-21,3,-0.879,-0.5652173667296797
8,8,Devon: OPEC+ Cuts Remain A Boon To Its Free Cash Flow,We previously covered   in June 2023 discussing the managements stellar capital allocation across strategic acquisitions and intensified capital expenditure for production growth fueled by theFor now the DVN management has further demonstrated excellent use of capital in FQ223 with 699M returned to shareholders 417 QoQ 40 YoY comprising 462M of fixed variable dividends and 237M of share repurchasesThe latter has already reduced the oil gas producers shares outstanding to 639M 12 QoQ 22 YoY by the latest quarter otherwise down by 58 from its peak of 679M in FQ221This is on top of DVNs 6M debt repayment in FQ223 and another  bringing its overall debt down to approximately 592B 38 QoQ 43 YoYTherefore while some investors may lament DVNs  payout of 049 319 QoQ 683 YoY we are not concerned at all Most of our optimism is attributed to the recovering spot prices by 265 for the  and by 228 for  from the May 2023 bottomThis is an important development indeed since  is split almost equally between Oil at 323 MBblsd 1 QoQ 76 YoY and Natural Gas Liquids Gas at 339 MBOED 56 QoQ 72 YoY in FQ223While both commodities spot prices may have been drastically normalized from the hyperpandemic heights of 12211 and 985 respectively we are encouraged by this promising development This is especially since the WTI crude oil spot prices remains elevated by 434 compared to the 2019 averages of 60The higher WTI crude oil prices are likely attributed to the  through 2023 with the July 2023 production at the lowest since August 2021 With a tighter OPEC supply and consistent global consumption it is unsurprising that  has estimated that inventories will draw down in H223 placing upward pressure on global oil pricesWhile the  has attempted to refill the US SPR to 34954M barrels 10045M YoY by August 25 2023 up by 279M from the July 2023 bottom of 34675M there remains a great distance of 28854M from the December 2020 levels of 63808MDepending on the  across the EU and the US we may see gas prices continue to rise for a little longer as wellAs a result of the great supply demand imbalance we may see the commodities spot prices remain higher explaining the DVN stocks recovery since the May 2023 bottomTherefore it is unsurprising that DVN is trading at NTM Market Cap FCF of 940x elevated compared to its 1Y mean of 851xThe same optimism is also observed with its oil gas peers such as Exxon Mobil  at 1206x Chevron  at 1165x and Occidental Petroleum Corporation  at 888x against their 1Y mean of 1033x 1013x 670x respectivelyThen again we believe that DVN is still attractively valued compared to the oil gas sector median Market Cap FCF valuation of 1019x This is especially due to the widening gap between the producers WTI breakeven of 40 and the spot prices of 8609 at the time of writingThe DVN management also guided a promising  of 326 MBOD 1 QoQ 108 YoY at the midpointThis builds upon the excellent expansion of its FQ223 oil volumes of 323 MBOD 1 QoQ 76 YoY  of 662 MBOED 32 QoQ 74 YoY and FQ123 volumes of 320 MBOD 12 QoQ  641 MBOED 1 QoQ 114 YoY respectivelyAssuming a similar cadence through H223 with a moderate 1 QoQ expansion we may see the producer exceed its upper limit  of between 643 and 663 MBOEDThis is based on our bullish FQ323 overall production projection of 668 MBOED 87 YoY and FQ423 projection of 674 MBOED 59 YoYThanks to the higher WTI spot prices we may also see DVNs Free Cash flow margins exceed 9 as per the managements previous guidance This is in line to the H123 FCF margins and much improved compared to the prepandemic average FCF margins of 4As a result investors may potentially look forward to an outsized H223 variable dividends aheadWhile DVN may be trading near its July 2023 resist,144,2023-09-07,1,0.9908,0.0
9,9,China to restrict exports of key EV battery material graphite (update),Hayman Capitals Bass Stop investing in Chinese stocksNvidia slumps on new USChina chip curbs but downplays impactDutch chip gear maker ASML shakes off China export worriesNano One North Americas Answer To China,70,2023-10-20,2,-0.1531,0.0
