date,Price,Open,High,Price
2023/7/31,85.56,84.95,85.8,85.56
2023/8/1,84.91,85.24,85.91,84.91
2023/8/2,83.2,85.86,85.99,83.2
2023/8/3,85.14,83.46,85.41,85.14
2023/8/4,86.24,85.31,86.65,86.24
2023/8/5,86.24,85.31,86.65,86.24
2023/8/6,86.24,85.31,86.65,86.24
2023/8/7,85.34,86.23,86.73,85.34
2023/8/8,86.17,85.79,86.34,86.17
2023/8/9,87.55,86,87.65,87.55
2023/8/10,86.4,87.39,88.1,86.4
2023/8/11,86.81,86.37,87.35,86.81
2023/8/12,86.81,86.37,87.35,86.81
2023/8/13,86.81,86.37,87.35,86.81
2023/8/14,86.21,86.53,86.71,86.21
2023/8/15,84.89,86.12,86.68,84.89
2023/8/16,83.45,85.2,85.36,83.45
2023/8/17,84.12,83.2,84.88,84.12
2023/8/18,84.8,83.88,85.08,84.8
2023/8/19,84.8,83.88,85.08,84.8
2023/8/21,84.46,84.8,85.86,84.46
2023/8/22,84.03,84.46,84.66,84.03
2023/8/23,83.21,83.99,84.26,83.21
2023/8/24,83.36,82.95,83.62,83.36
2023/8/25,84.48,83.26,84.97,84.48
2023/8/26,84.48,83.26,84.97,84.48
2023/8/27,84.48,83.26,84.97,84.48
2023/8/28,84.42,84.87,85.23,84.42
2023/8/29,85.49,84.39,85.65,85.49
2023/8/30,85.86,85.62,86.23,85.86
2023/8/31,86.86,86,86.94,86.86
2023/9/1,88.55,86.82,88.99,88.55
2023/9/2,88.55,86.82,88.99,88.55
2023/9/3,88.55,86.82,88.99,88.55
2023/9/4,89,88.95,89.22,89
2023/9/5,90.04,88.91,91.15,90.04
2023/9/6,90.6,90.12,91.1,90.6
2023/9/7,89.92,90.81,90.89,89.92
2023/9/8,90.65,89.79,91.02,90.65
2023/9/9,90.65,89.79,91.02,90.65
2023/9/10,90.65,89.79,91.02,90.65
2023/9/11,90.64,90.83,91.45,90.64
2023/9/12,92.06,90.62,92.4,92.06
2023/9/13,91.88,92.04,92.84,91.88
2023/9/14,93.7,92.04,94.21,93.7
2023/9/15,93.93,94.02,94.63,93.93
2023/9/16,93.93,94.02,94.63,93.93
2023/9/17,93.93,94.02,94.63,93.93
2023/9/18,94.43,94.28,94.95,94.43
2023/9/19,94.34,94.66,95.96,94.34
2023/9/20,93.53,94.49,94.72,93.53
2023/9/21,93.3,93.08,94.6,93.3
2023/9/22,93.27,93.37,94.64,93.27
2023/9/23,93.27,93.37,94.64,93.27
2023/9/24,93.27,93.37,94.64,93.27
2023/9/25,93.29,93.75,94.25,93.29
2023/9/26,93.96,93.28,94.21,93.96
2023/9/27,96.55,94.12,97.06,96.55
2023/9/28,95.38,96.74,97.69,95.38
2023/9/29,95.31,95.07,96.26,95.31
2023/9/30,95.31,95.07,96.26,95.31
2023/10/1,95.31,95.07,96.26,95.31
2023/10/2,90.71,92.18,93.33,90.71
2023/10/3,90.92,90.4,91.56,90.92
2023/10/4,85.81,91.04,91.21,85.81
2023/10/5,84.07,85.88,86.52,84.07
2023/10/6,84.58,84.49,84.95,84.58
2023/10/7,84.58,84.49,84.95,84.58
2023/10/8,84.58,84.49,84.95,84.58
2023/10/9,88.15,86.45,89,88.15
2023/10/10,87.65,88.17,88.49,87.65
2023/10/11,85.82,87.72,88.26,85.82
2023/10/12,86,85.53,87.64,86
2023/10/13,90.89,86.35,91,90.89
2023/10/14,90.89,86.35,91,90.89
2023/10/15,90.89,86.35,91,90.89
2023/10/16,89.65,90.98,91.39,89.65
2023/10/17,89.9,89.91,91,89.9
2023/10/18,91.5,91.25,93,91.5
2023/10/19,92.38,91.35,93.48,92.38
2023/10/20,92.16,93.23,93.79,92.16
2023/10/21,92.16,93.23,93.79,92.16
2023/10/22,92.16,93.23,93.79,92.16
2023/10/23,89.83,92.11,92.45,89.83
2023/10/24,88.07,90.47,90.68,88.07
2023/10/25,90.13,88.04,90.35,90.13
2023/10/26,87.93,89.92,90.4,87.93
2023/10/27,87.93,89.92,90.4,87.93
2023/10/28,87.93,89.92,90.4,87.93
2023/10/29,86.85,86.66,87.08,86.85
2023/10/30,86.35,88.94,88.94,86.35
