date,comment,1_num,1_score,2_num,2_score,3_num,3_score,4_num,4_score,5_num,5_score,6_num,6_score,7_num,7_score,8_num,8_score,Price,Open,High,Price
2023/7/31,304,2,-1.122077762,0,0,2,-0.493828556,0,0,0,0,0,0,1,0.723322707,1,0.799099988,85.56,84.95,85.8,85.56
2023/8/1,82,0,0,0,0,1,0.38585,0,0,2,0.1109,0,0,1,0.773277762,1,0.998849972,84.91,85.24,85.91,84.91
2023/8/2,727,2,-0.937531289,2,-0.471925941,0,0,2,0.859233338,3,-1.853299,2,0.927916669,1,0.703032341,0,0,83.2,85.86,85.99,83.2
2023/8/3,608,3,1.652466662,0,0,1,0.548249998,0,0,2,-0.871999,1,0.832583319,1,0.832583319,0,0,85.14,83.46,85.41,85.14
2023/8/4,799,2,-0.02930025,1,0.316679417,2,0.032121969,0,0,3,0.375677471,1,-0.276349986,2,1.687138786,0,0,86.24,85.31,86.65,86.24
2023/8/5,231,1,0.3243,0,0,0,0,0,0,1,-0.43975,0,0,0,0,1,0.08902274,86.24,85.31,86.65,86.24
2023/8/6,295,1,0.57284999,0,0,0,0,0,0,1,0.447900002,0,0,1,0.57284999,0,0,86.24,85.31,86.65,86.24
2023/8/7,1269,6,2.865409515,0,0,2,1.019486373,0,0,5,0.123595618,2,1.329233278,1,0.773277762,0,0,85.34,86.23,86.73,85.34
2023/8/8,113,1,-0.197049875,1,-0.938068398,1,0.38000002,0,0,2,0.926935199,0,0,0,0,0,0,86.17,85.79,86.34,86.17
2023/8/9,536,1,0.34027106,1,-0.755727762,1,0.4561,0,0,6,1.055666292,0,0,1,0.298883347,0,0,87.55,86,87.65,87.55
2023/8/10,146,3,0.997066324,1,0.374816674,1,0.585535289,0,0,1,0.970449944,0,0,0,0,0,0,86.4,87.39,88.1,86.4
2023/8/11,661,1,0.810681789,0,0,1,0.62967894,0,0,1,-0.289249833,0,0,1,0.62967894,1,0.414066674,86.81,86.37,87.35,86.81
2023/8/12,167,1,0.619799984,0,0,0,0,0,0,0,0,0,0,1,0.479231482,0,0,86.81,86.37,87.35,86.81
2023/8/13,192,0,0,0,0,0,0,1,0.426444451,0,0,1,0.544554541,3,1.397443443,0,0,86.81,86.37,87.35,86.81
2023/8/14,5990,2,0.899932348,0,0,4,1.879695464,1,0.196850007,5,2.522819188,2,0.393700014,1,0.94124442,1,0.640823906,86.21,86.53,86.71,86.21
2023/8/15,572,0,0,1,-0.863752919,3,1.696452448,0,0,1,-0.686885684,1,0.490861763,1,0.490861763,2,0,84.89,86.12,86.68,84.89
2023/8/16,2250,1,0.243142867,0,0,0,0,0,0,2,-0.5719,1,0.269977293,3,2.94989925,0,0,83.45,85.2,85.36,83.45
2023/8/17,805,3,1.38042542,0,0,1,0.390054353,1,0.79904994,4,-0.418553911,0,0,1,0.664666653,1,0.292097835,84.12,83.2,84.88,84.12
2023/8/18,361,1,-0.179440732,4,-1.82145709,1,0.647449993,0,0,1,-0.664516648,1,-0.179440732,1,0.613984607,1,0.542604541,84.8,83.88,85.08,84.8
2023/8/19,18,0,0,0,0,0,0,0,0,1,0.4923,0,0,0,0,0,0,84.8,83.88,85.08,84.8
2023/8/21,504,0,0,0,0,0,0,0,0,2,-1.701953653,1,-0.030349875,1,0.536061536,3,1.994299944,84.46,84.8,85.86,84.46
2023/8/22,647,0,0,2,-1.719470649,0,0,0,0,1,0.81164998,4,1.806950167,2,-0.7736995,2,0.777572199,84.03,84.46,84.66,84.03
2023/8/23,1195,2,0.9679,0,0,0,0,0,0,3,-2.024949906,0,0,1,0.426971439,1,0.139533389,83.21,83.99,84.26,83.21
2023/8/24,59,1,0.4064,1,-0.924633304,0,0,0,0,1,0.270214316,0,0,0,0,0,0,83.36,82.95,83.62,83.36
2023/8/25,1795,1,0.542154543,0,0,0,0,0,0,3,-0.025149875,1,0.542154543,1,0.542154543,3,1.844305541,84.48,83.26,84.97,84.48
2023/8/26,1498,2,-0.700765749,0,0,3,-0.8375974,0,0,1,-0.72242272,1,-0.365949929,0,0,0,0,84.48,83.26,84.97,84.48
2023/8/27,157,0,0,0,0,0,0,0,0,1,0.663816656,0,0,1,0.633013624,0,0,84.48,83.26,84.97,84.48
2023/8/28,503,1,-0.099649988,0,0,0,0,0,0,3,-0.806916629,0,0,2,1.169999969,1,0.501765788,84.42,84.87,85.23,84.42
2023/8/29,108,1,0.563728566,2,-1.097924132,0,0,0,0,1,0.4916,0,0,0,0,0,0,85.49,84.39,85.65,85.49
2023/8/30,276,2,0.037933372,1,0.427932612,1,0.713535708,0,0,3,-0.613566639,0,0,1,0.69594998,0,0,85.86,85.62,86.23,85.86
2023/8/31,343,0,0,2,-0.621566593,3,1.106476495,0,0,0,0,0,0,0,0,0,0,86.86,86,86.94,86.86
2023/9/1,221,0,0,0,0,1,0.080207194,1,-0.66454975,0,0,2,1.050999119,0,0,0,0,88.55,86.82,88.99,88.55
2023/9/2,835,2,-0.673318854,0,0,0,0,0,0,0,0,1,0.49715,1,0.49715,1,0.516989129,88.55,86.82,88.99,88.55
2023/9/3,109,0,0,0,0,0,0,0,0,1,0.264583352,0,0,1,0.664616653,0,0,88.55,86.82,88.99,88.55
2023/9/4,234,0,0,0,0,1,0.635063624,0,0,0,0,0,0,1,0.441545459,1,0.600595647,89,88.95,89.22,89
2023/9/5,2047,2,0.23364997,2,-1.20225357,1,0.424121434,0,0,1,-0.28595,6,3.045161101,0,0,2,0.808783389,90.04,88.91,91.15,90.04
2023/9/6,510,0,0,1,-0.984099875,0,0,0,0,1,0.816931789,0,0,1,0.679949996,2,1.141965141,90.6,90.12,91.1,90.6
2023/9/7,290,1,0.4954,0,0,3,0.703416514,0,0,3,-0.352927747,1,0.454542858,0,0,0,0,89.92,90.81,90.89,89.92
2023/9/8,254,2,0.613466713,0,0,3,0.784998177,0,0,0,0,0,0,0,0,0,0,90.65,89.79,91.02,90.65
2023/9/9,414,1,0.849149983,0,0,1,0.343000007,1,0.849149983,1,0.849149983,0,0,0,0,0,0,90.65,89.79,91.02,90.65
2023/9/10,618,0,0,0,0,0,0,1,0.522709523,1,-0.93309442,2,1.356049945,1,0.878637867,0,0,90.65,89.79,91.02,90.65
2023/9/11,135,3,0.421036376,1,0.052250047,0,0,0,0,0,0,0,0,0,0,2,0.794550053,90.64,90.83,91.45,90.64
2023/9/12,325,3,1.605112728,1,-0.168688846,1,0.775527747,1,0.596816639,5,1.914550004,1,0.4994,1,0.4994,0,0,92.06,90.62,92.4,92.06
2023/9/13,665,0,0,2,0.352900076,1,0.437445457,0,0,2,-0.5719,0,0,0,0,3,1.516296582,91.88,92.04,92.84,91.88
2023/9/14,618,1,0.698399993,4,-1.337256627,1,0.4912,1,0.856392806,1,-0.796905245,0,0,0,0,2,0.828816669,93.7,92.04,94.21,93.7
2023/9/15,1545,6,1.572294545,0,0,1,0.4967,0,0,6,0.094393904,0,0,3,2.073102546,0,0,93.93,94.02,94.63,93.93
2023/9/16,1740,1,0.89959998,1,0.085450047,0,0,0,0,0,0,2,-0.260381744,0,0,0,0,93.93,94.02,94.63,93.93
2023/9/17,2948,3,-0.40475551,0,0,3,0.479616713,0,0,0,0,1,0.159872238,0,0,0,0,93.93,94.02,94.63,93.93
2023/9/18,2853,2,0.589250048,0,0,2,0.851116965,0,0,3,0.13813562,2,-0.060331623,0,0,4,1.422278763,94.43,94.28,94.95,94.43
2023/9/19,439,0,0,0,0,3,-2.333727719,0,0,7,-0.387522963,0,0,0,0,0,0,94.34,94.66,95.96,94.34
2023/9/20,248,2,-0.376655103,2,-0.685825379,1,0.420094451,0,0,2,-0.5719,0,0,0,0,0,0,93.53,94.49,94.72,93.53
2023/9/21,254,0,0,0,0,2,0.234065518,0,0,0,0,0,0,0,0,0,0,93.3,93.08,94.6,93.3
2023/9/22,266,2,0.365200062,0,0,1,0.207600031,0,0,4,-2.085899864,0,0,1,0.642257133,2,1.258434252,93.27,93.37,94.64,93.27
2023/9/23,268,1,-0.0129,0,0,0,0,0,0,1,-0.76714994,0,0,0,0,2,0.9971,93.27,93.37,94.64,93.27
2023/9/24,650,2,-0.497149974,4,-1.76654982,1,0.9994999,0,0,1,0.72132221,0,0,0,0,1,0.418352636,93.27,93.37,94.64,93.27
2023/9/25,627,5,-0.513336844,2,-0.342972634,2,0.156959773,0,0,2,-0.060165178,0,0,3,2.343453781,1,0.887988846,93.29,93.75,94.25,93.29
2023/9/26,615,4,0.84553098,3,-0.16921894,1,0.379838892,0,0,3,-2.32739975,0,0,2,1.027116667,2,0.050123837,93.96,93.28,94.21,93.96
2023/9/27,2035,4,0.987116781,0,0,4,0.417377408,1,0.321645459,10,-0.633966765,3,0.106951,1,-0.795188846,0,0,96.55,94.12,97.06,96.55
2023/9/28,1024,2,0.897145729,0,0,2,-0.516049964,0,0,2,-1.20679994,3,1.801849917,0,0,0,0,95.38,96.74,97.69,95.38
2023/9/29,1531,2,0.8933,1,-0.926121398,4,-0.2326659,0,0,2,0.031982289,2,0.173918256,1,0.086959128,1,-0.062664276,95.31,95.07,96.26,95.31
2023/9/30,130,0,0,2,-1.626556962,2,0.924433338,0,0,0,0,0,0,1,0.415994451,1,0.053016143,95.31,95.07,96.26,95.31
2023/10/1,515,0,0,2,0.766535746,0,0,1,0.562249999,4,1.645600007,2,0.9974,0,0,0,0,95.31,95.07,96.26,95.31
2023/10/2,1122,2,-0.752120609,3,0.380487741,3,-0.755061067,0,0,1,0.38908051,6,1.731366809,5,2.475566716,2,0.87825001,90.71,92.18,93.33,90.71
2023/10/3,955,6,1.736769211,2,-0.221433369,4,2.195458846,0,0,8,-0.113191082,1,0.288817659,2,0.85984622,1,0.200272233,90.92,90.4,91.56,90.92
2023/10/4,2485,9,2.717960815,4,-0.504388888,2,-0.420830329,2,-0.9044,11,-6.231044613,3,0.071877331,1,0.257172587,5,0.868181723,85.81,91.04,91.21,85.81
2023/10/5,1596,4,1.813785713,0,0,2,0.443055574,0,0,7,-2.672041902,4,2.522221379,6,3.403028536,3,1.745902212,84.07,85.88,86.52,84.07
2023/10/6,1622,5,0.904326278,1,0.724099938,10,1.718575194,0,0,1,-0.00704994,4,2.087349239,1,0.090400031,3,-0.129324449,84.58,84.49,84.95,84.58
2023/10/7,1931,4,1.876463645,2,0.8752,8,-0.065313573,0,0,1,0.413966674,0,0,3,1.18920003,0,0,84.58,84.49,84.95,84.58
2023/10/8,1115,3,0.259165041,4,-2.158571211,1,0.730583326,0,0,1,0.656466656,2,0.844242867,4,1.786797634,2,0.506476336,84.58,84.49,84.95,84.58
2023/10/9,1981,2,-1.318247845,9,-3.884076897,3,-0.415649486,1,-0.311283389,4,-3.243229003,6,1.491209645,2,-0.250828551,2,1.025869051,88.15,86.45,89,88.15
2023/10/10,1191,5,1.19244861,9,-3.873033287,8,1.689748744,0,0,4,0.89599999,7,1.182431204,4,1.937481938,7,-0.3245506,87.65,88.17,88.49,87.65
2023/10/11,1968,7,2.058023228,7,-3.718299382,4,1.815555494,0,0,5,0.747800002,5,3.136533234,7,4.169649922,7,2.085038633,85.82,87.72,88.26,85.82
2023/10/12,1779,2,-0.042986473,3,0.090533544,9,1.968642771,6,-0.26889992,4,-0.548655742,4,0.883650045,2,0.9937,3,0.323758752,86,85.53,87.64,86
2023/10/13,1753,5,2.546078754,9,-1.285211932,5,-1.039028461,1,-0.9951495,4,0.123005569,6,2.298133056,3,1.453,3,0.396396047,90.89,86.35,91,90.89
2023/10/14,1733,0,0,3,-0.807726118,8,-4.690658451,0,0,0,0,0,0,0,0,0,0,90.89,86.35,91,90.89
2023/10/15,312,3,1.527114684,1,-0.654423795,1,0.341076094,1,-0.135886942,0,0,0,0,1,0.373600008,4,1.045750023,90.89,86.35,91,90.89
2023/10/16,1846,6,1.297701154,9,-2.400291942,4,0.961301188,0,0,2,1.591899484,5,2.210755681,6,3.530394904,4,1.846618764,89.65,90.98,91.39,89.65
2023/10/17,1292,4,1.278505853,9,-2.890985469,1,0.480231482,2,1.226442822,5,1.065793851,6,2.105012618,6,3.529383163,4,2.058494441,89.9,89.91,91,89.9
2023/10/18,2214,11,3.799288071,7,-1.662579379,7,2.571603131,0,0,6,1.656748735,5,1.003734821,8,5.322403734,4,1.803649497,91.5,91.25,93,91.5
2023/10/19,716,5,-0.139140852,4,-2.032353726,5,2.236669056,0,0,3,0.885658139,2,0.918242112,3,1.001524759,3,0.655751345,92.38,91.35,93.48,92.38
2023/10/20,1194,6,1.856519161,5,-2.578254399,6,1.740094828,1,-0.386480424,5,-0.84690529,4,0.98440098,1,0.69779998,5,2.367469271,92.16,93.23,93.79,92.16
2023/10/21,2123,0,0,2,-0.113533323,4,-2.516276047,1,0.272867659,1,0.199886376,2,-0.05069975,2,0.413544506,0,0,92.16,93.23,93.79,92.16
2023/10/22,451,2,0.957364611,0,0,1,0.285433352,1,0.358615393,0,0,1,0.358615393,2,0.274415893,1,0.4923,92.16,93.23,93.79,92.16
2023/10/23,1327,7,-0.943319551,4,0.334580578,6,-1.910978201,0,0,4,1.343914813,3,0.116653083,8,4.801102161,5,2.303014632,89.83,92.11,92.45,89.83
2023/10/24,653,4,2.690619006,4,-1.867468825,1,0.056716696,0,0,4,-0.605548464,6,1.999010059,11,5.914956631,4,-1.052724085,88.07,90.47,90.68,88.07
2023/10/25,928,6,0.121528703,3,-1.371192656,6,1.177953596,0,0,5,-2.472327591,4,2.907866591,6,1.600242391,5,0.340714554,90.13,88.04,90.35,90.13
2023/10/26,1364,2,-0.31604994,1,0.427171434,5,2.205070145,0,0,1,0.685049988,2,0.545517111,8,-1.634194167,3,0.348046781,87.93,89.92,90.4,87.93
2023/10/27,923,5,2.006666533,4,-1.189333203,3,0.654440165,1,0.566378566,5,2.411679228,3,1.615783318,4,2.245223323,5,2.69542636,87.93,89.92,90.4,87.93
2023/10/28,506,1,0.685849988,2,-0.572957028,5,0.374748771,0,0,1,0.783064265,0,0,1,0.84520382,3,1.872930011,87.93,89.92,90.4,87.93
2023/10/29,113,2,1.661435199,0,0,1,0.406490913,0,0,0,0,0,0,2,0.702285735,3,-0.560088751,86.85,86.66,87.08,86.85
